,id_limpio,title,author,subjects,genre_1
48,75775,OBRAS DRAMÁTICAS DE EURÍPIDES (3 DE 3),EURIPIDES,set(),DRAMA
49,51130,"TRAGICOMEDIA DE LISANDRO Y ROSELIA: LLAMADA ELICIA, Y POR OTRO NOMBRE CUARTA OBRA Y TERCERA CELESTINA.","MUÑÓN, SANCHO DE, ACTIVE 1542","{'Spanish drama -- Classical period, 1500-1700'}",DRAMA
50,60198,FUENTE OVEJUNA,"VEGA, LOPE DE","{'Fuenteovejuna (Spain) -- History -- Drama', 'Spanish drama -- Classical period, 1500-1700'}",DRAMA
51,28408,"COMEDIAS: EL REMEDIO EN LA DESDICHA; EL MEJOR ALCALDE, EL REY","VEGA, LOPE DE",{'Spanish drama'},DRAMA
52,50027,EL SÍ DE LAS NIÑAS,"FERNÁNDEZ DE MORATÍN, LEANDRO",{'Spanish drama (Comedy)'},DRAMA
53,28106,HEATH'S MODERN LANGUAGE SERIES: TRES COMEDIAS: SIN QUERER; DE PEQUENAS CAUSAS...; LOS INTERESES CREADOS,"BENAVENTE, JACINTO","{'Spanish drama', 'Comedy plays'}",DRAMA
54,65584,DRAMAS (2 DE 2): LUCRECIA BORGIA; MARÍA TUDOR; LA ESMERALDA; RUY BLAS,"HUGO, VICTOR",{'French drama -- Translations into Spanish'},DRAMA
55,69951,DIVINAS PALABRAS : $B TRAGICOMEDIA DE ALDEA,"VALLE-INCLÁN, RAMÓN DEL","{'Spanish drama -- 20th century', 'Tragicomedy'}",DRAMA
56,68745,LUCES DE BOHEMIA: ESPERPENTO,"VALLE-INCLÁN, RAMÓN DEL","{'Blind -- Drama', 'Spanish drama -- 20th century', 'Poverty -- Drama', 'Poets -- Drama'}",DRAMA
57,68566,FAUSTO: PRIMERA PARTE,"GOETHE, JOHANN WOLFGANG VON","{'German poetry -- Translations into Spanish', 'Faust, -approximately 1540 -- Drama', 'Legends -- Germany -- Drama', 'Magicians -- Drama'}",DRAMA
58,19847,DON FRANCISCO DE QUEVEDO: DRAMA EN CUATRO ACTOS,"SANZ, EULOGIO FLORENTINO","{'Quevedo, Francisco de, 1580-1645 -- Drama'}",DRAMA
59,66023,TRAGEDIAS,AESCHYLUS,"{'Mythology, Greek -- Drama', 'Aeschylus -- Translations into Spanish'}",DRAMA
60,42456,EL JAYÓN: DRAMA EN TRES ACTOS,"ESPINA, CONCHA",{'Drama'},DRAMA
61,68443,"COMEDIAS, TOMO 1 DE 3 : $B LOS ACARNIENSES, LOS CABALLEROS, LAS NUBES",ARISTOPHANES,"{'Athens (Greece) -- Drama', 'Greek drama (Comedy) -- Translations into Spanish', 'Aristophanes -- Translations into Spanish'}",DRAMA
62,53207,DRAMAS DE GUILLERMO SHAKSPEARE [VOL. 1],"SHAKESPEARE, WILLIAM","{'Shakespeare, William, 1564-1616 -- Translations into Spanish', 'English drama -- Translations into Spanish'}",DRAMA
63,18580,LOS FAVORES DEL MUNDO,"RUIZ DE ALARCÓN, JUAN",{'Drama'},DRAMA
64,28002,ELECTRA,"PÉREZ GALDÓS, BENITO",{'Spanish drama'},DRAMA
65,74704,OBRAS DRAMÁTICAS DE EURÍPIDES (2 DE 3),EURIPIDES,{'Greek drama (Tragedy) -- Translations into Spanish'},DRAMA
66,59686,DRAMAS DE GUILLERMO SHAKSPEARE [VOL. 4],"SHAKESPEARE, WILLIAM","{'Shakespeare, William, 1564-1616 -- Translations into Spanish', 'English drama -- Translations into Spanish'}",DRAMA
67,25687,TRES COMEDIAS MODERNAS: EN UN ACTO Y EN PROSA,"BARRANCO, MARIANO","{'Spanish drama', 'Comedy plays'}",DRAMA
