,id_limpio,title,author,genre,subjects,genre_1,genre_2,genre_3
842,48654,INCESTO: NOVELA ORIGINAL,"ZAMACOIS, EDUARDO",FICTION / Family Life,{'Spanish fiction'},FICTION,FAMILY LIFE,FICTION OTHERS
843,48670,TEATRO GALANTE,"ZAMACOIS, EDUARDO",DRAMA / General,{'Spanish drama'},DRAMA,GENERAL,DRAMA
844,50757,LA CITA: NOVELAS,"ZAMACOIS, EDUARDO",FICTION / Romance,{'Spanish fiction'},FICTION,ROMANCE,FICTION ROMANCE
845,51721,DE CARNE Y HUESO; CUENTOS,"ZAMACOIS, EDUARDO",FICTION / Short Stories (single author),"{'Short stories, Spanish', 'Spanish fiction'}",FICTION,SHORT STORIES (SINGLE AUTHOR),FICTION SHORT STORIES (SINGLE AUTHOR)
846,53743,EL MISTERIO DE UN HOMBRE PEQUEÑITO: NOVELA,"ZAMACOIS, EDUARDO",FICTION / Literary,{'Spanish fiction'},FICTION,LITERARY,FICTION LITERARY
847,62840,MEMORIAS DE UN VAGÓN DE FERROCARRIL,"ZAMACOIS, EDUARDO",FICTION / Psychological,"{'Railroad stories', 'Spanish fiction -- 20th century'}",FICTION,PSYCHOLOGICAL,FICTION OTHERS
848,75004,LA OPINIÓN AJENA : $B (NOVELA),"ZAMACOIS, EDUARDO",FICTION / Literary,{'Spanish fiction -- 20th century'},FICTION,LITERARY,FICTION LITERARY
849,64465,NOVELAS EJEMPLARES Y AMOROSAS,"ZAYAS Y SOTOMAYOR, MARÍA DE",FICTION / Literary,"{'Spanish fiction -- Classical period, 1500-1700'}",FICTION,LITERARY,FICTION LITERARY
850,53294,RECUERDOS DEL TIEMPO VIEJO,"ZORRILLA, JOSÉ",BIOGRAPHY & AUTOBIOGRAPHY / Literary Figures,"{'Zorrilla, José, 1817-1893'}",BIOGRAPHY & AUTOBIOGRAPHY,LITERARY FIGURES,BIOGRAPHY & AUTOBIOGRAPHY
851,55480,"GRANADA, POEMA ORIENTAL, PRECEDIDO DE LA LEYENDA DE AL-HAMAR, TOMO 1","ZORRILLA, JOSÉ",POETRY / European,{'Granada (Spain) -- History -- Poetry'},POETRY,EUROPEAN,POETRY
852,58275,"GRANADA, POEMA ORIENTAL, PRECEDIDO DE LA LEYENDA DE AL-HAMAR, TOMO 2","ZORRILLA, JOSÉ",POETRY / European,{'Granada (Spain) -- History -- Poetry'},POETRY,EUROPEAN,POETRY
